# time already scaled back by lambda=20.
rep	mean_root_age	sample_seed	num_roots	root_ages
855	550.0	3697071537	11	1040.0,120.0,680.0,360.0
840	552.0	2301969131	9	1120.0,160.0,340.0,340.0,800.0
90	553.3333333333334	3382644140	12	240.0,780.0,640.0
206	553.3333333333334	3757813479	9	440.0,1060.0,160.0
693	553.3333333333334	3225450190	12	340.0,1080.0,240.0
695	553.3333333333334	3903822095	7	1060.0,540.0,60.0
772	553.3333333333334	3560638120	9	360.0,900.0,400.0
874	553.3333333333334	3592233860	11	920.0,140.0,600.0
157	555.0	17097941	6	1020.0,520.0,60.0,620.0
383	555.0	1187505031	10	80.0,820.0,300.0,1020.0
27	560.0	196857540	11	940.0,520.0,220.0
220	560.0	2236505696	8	1040.0,160.0,480.0
253	560.0	2561758786	10	100.0,960.0,960.0,220.0
329	560.0	3608263850	9	80.0,380.0,880.0,760.0,260.0,1000.0
343	560.0	2617030538	9	500.0,820.0,680.0,240.0
449	560.0	2737729610	10	20.0,700.0,840.0,440.0,800.0
483	560.0	3503113142	8	1000.0,120.0
672	560.0	3289545330	8	160.0,1100.0,720.0,260.0
791	560.0	84191046	11	80.0,260.0,960.0,940.0
839	560.0	711954658	13	860.0,260.0
937	560.0	2051410279	11	880.0,240.0
938	560.0	1118237516	9	980.0,140.0
983	560.0	833523690	7	800.0,1040.0,380.0,20.0
367	565.0	1940202118	9	1020.0,440.0,140.0,660.0
394	565.0	4252873797	11	100.0,200.0,1420.0,540.0
894	565.0	946129775	9	440.0,380.0,720.0,720.0
51	566.6666666666666	1126677578	8	940.0,40.0,720.0
458	566.6666666666666	3147692799	11	860.0,600.0,240.0
490	566.6666666666666	1439306660	10	560.0,1080.0,60.0
958	566.6666666666666	2081229455	12	260.0,460.0,980.0
960	566.6666666666666	3977115716	9	1040.0,560.0,100.0
685	568.0	681645720	8	340.0,300.0,1020.0,360.0,820.0
259	570.0	4109995702	9	1040.0,620.0,220.0,400.0
676	570.0	3405866174	10	80.0,360.0,960.0,880.0
682	570.0	3710257695	7	920.0,220.0
815	570.0	2044333302	11	740.0,400.0
906	570.0	2747458873	8	280.0,520.0,1040.0,440.0
404	573.3333333333334	423973276	10	1100.0,80.0,580.0,480.0,100.0,1100.0
617	573.3333333333334	1539294269	12	120.0,800.0,800.0
737	576.0	1739550502	11	20.0,480.0,680.0,840.0,860.0
996	576.0	2596170640	12	520.0,740.0,900.0,300.0,420.0
13	580.0	958004323	14	280.0,880.0
14	580.0	2077168999	6	640.0,200.0,900.0
162	580.0	3976816967	11	60.0,1080.0,640.0,260.0,860.0
186	580.0	1919340118	9	780.0,320.0,200.0,1020.0
263	580.0	3019641613	10	960.0,520.0,260.0
270	580.0	60369706	9	160.0,1000.0,580.0
298	580.0	2833830006	9	460.0,720.0,560.0
547	580.0	535794357	10	540.0,180.0,980.0,620.0
609	580.0	3025562477	7	860.0,200.0,680.0
621	580.0	2849426586	11	960.0,280.0,540.0,540.0
626	580.0	1226607765	8	80.0,1180.0,560.0,500.0
830	580.0	2852906488	7	340.0,1040.0,200.0,740.0
407	584.0	4177181117	9	580.0,1120.0,40.0,1000.0,180.0
432	585.0	2328677118	8	880.0,1040.0,320.0,100.0
702	585.0	2829510134	10	260.0,540.0,820.0,720.0
153	586.6666666666666	2309623311	7	880.0,60.0,820.0
530	586.6666666666666	925332564	8	1060.0,660.0,40.0
69	588.0	251658342	9	20.0,200.0,1120.0,1280.0,320.0
422	588.0	460849464	9	840.0,580.0,380.0,660.0,480.0
351	590.0	3122930545	10	940.0,240.0
859	590.0	4185924011	8	580.0,240.0,540.0,1000.0
151	593.3333333333334	2597168538	12	980.0,160.0,640.0
288	593.3333333333334	1796160306	10	560.0,60.0,1160.0
706	593.3333333333334	3352579331	8	100.0,940.0,740.0
164	595.0	289779945	10	280.0,460.0,1060.0,580.0
312	595.0	819005019	12	100.0,740.0,640.0,900.0
356	595.0	4025454312	10	920.0,160.0,780.0,520.0
511	595.0	2878490974	12	60.0,520.0,1140.0,660.0
553	595.0	3686355984	11	1100.0,20.0,820.0,440.0
558	595.0	2606175008	10	1080.0,200.0,40.0,1060.0
889	595.0	4047515275	9	140.0,720.0,400.0,1120.0
652	596.0	3592811070	11	40.0,440.0,840.0,620.0,1040.0
944	596.0	3397294332	9	140.0,1320.0,460.0,1000.0,60.0
541	596.6666666666666	890887032	8	80.0,400.0,900.0,980.0,1060.0,160.0
869	596.6666666666666	114741743	9	800.0,820.0,440.0,280.0,440.0,800.0
25	600.0	4264910358	10	100.0,1160.0,1040.0,100.0
99	600.0	18073728	9	1000.0,760.0,320.0,320.0
119	600.0	1729274620	8	20.0,1180.0
243	600.0	2932629816	7	880.0,320.0
256	600.0	2561565076	11	780.0,880.0,140.0
607	600.0	1405574420	9	920.0,440.0,440.0
671	600.0	2471868842	9	420.0,780.0
773	600.0	1364345034	9	880.0,300.0,620.0
781	600.0	1894720736	7	900.0,500.0,400.0
810	600.0	2676404943	11	100.0,1100.0
953	600.0	38576792	10	1060.0,820.0,120.0,400.0
654	604.0	3462276060	9	1100.0,40.0,720.0,1140.0,20.0
138	606.6666666666666	2320426387	9	960.0,620.0,240.0
269	606.6666666666666	2149989086	10	780.0,540.0,500.0
277	606.6666666666666	1527011277	11	780.0,900.0,140.0
473	606.6666666666666	488178973	12	340.0,640.0,840.0
890	608.0	984016794	9	1100.0,400.0,320.0,140.0,1080.0
38	610.0	3310813615	10	100.0,1120.0
132	610.0	2806298535	6	800.0,340.0,1080.0,220.0
574	610.0	497139702	8	600.0,1120.0,340.0,380.0
857	610.0	2808658467	12	960.0,260.0
210	613.3333333333334	4155058120	7	700.0,60.0,1080.0
477	613.3333333333334	3197179951	13	920.0,580.0,340.0
850	613.3333333333334	333322955	8	340.0,960.0,540.0
173	615.0	1576739630	8	460.0,240.0,920.0,840.0
326	615.0	4159237824	10	1160.0,120.0,1120.0,60.0
431	615.0	4223060618	8	100.0,380.0,1160.0,820.0
740	615.0	649359641	10	540.0,800.0,340.0,780.0
727	616.0	1098118723	15	920.0,440.0,520.0,260.0,940.0
149	620.0	1766395589	10	460.0,980.0,920.0,120.0
365	620.0	863304610	9	1180.0,60.0
434	620.0	97817076	13	40.0,1120.0,360.0,960.0
701	620.0	421016019	12	200.0,760.0,900.0
731	620.0	809927933	8	280.0,520.0,520.0,1160.0
800	620.0	248523563	5	280.0,420.0,1000.0,460.0,940.0
908	620.0	3177998441	9	140.0,1100.0,640.0,520.0,700.0
920	620.0	565762708	11	440.0,720.0,700.0
350	625.0	2744372043	11	120.0,920.0,520.0,940.0
403	625.0	1047614498	10	1080.0,1040.0,220.0,160.0
478	625.0	1311602633	8	960.0,440.0,300.0,800.0
178	626.6666666666666	1938613734	11	60.0,840.0,980.0
190	626.6666666666666	1983935815	8	860.0,180.0,840.0
421	626.6666666666666	3817051455	9	980.0,820.0,80.0
766	626.6666666666666	2581832277	9	800.0,580.0,500.0
70	630.0	997092260	11	900.0,360.0
389	630.0	535897361	9	180.0,1080.0
470	630.0	2200588765	11	800.0,460.0
796	630.0	2772423897	10	180.0,1080.0
587	633.3333333333334	1768316298	12	360.0,780.0,760.0
674	633.3333333333334	1473533100	11	20.0,920.0,960.0
769	633.3333333333334	672172860	9	20.0,1100.0,780.0
829	633.3333333333334	3047791116	9	920.0,460.0,520.0
926	633.3333333333334	800721205	13	220.0,780.0,900.0
61	635.0	3780915845	12	1020.0,520.0,780.0,220.0
331	635.0	4013627397	9	140.0,780.0,800.0,820.0
121	636.0	2689048880	14	1140.0,580.0,260.0,620.0,580.0
387	636.0	2718915703	10	1100.0,740.0,940.0,200.0,200.0
860	636.0	696496224	11	100.0,1440.0,600.0,860.0,180.0
19	640.0	3948765716	10	1020.0,520.0,380.0
181	640.0	1885062327	11	880.0,540.0,320.0,820.0
233	640.0	312734638	12	40.0,520.0,800.0,600.0,940.0,940.0
264	640.0	2397952862	11	100.0,1020.0,800.0
266	640.0	1899604697	10	1080.0,700.0,800.0,160.0,460.0
336	640.0	2016928045	7	720.0,60.0,1140.0
588	640.0	1305637415	11	480.0,800.0
748	640.0	3304357559	6	220.0,1100.0,600.0
762	640.0	667163799	12	1040.0,340.0,660.0,520.0
