# time already scaled back by lambda=20.
rep	mean_root_age	sample_seed	num_roots	root_ages
974	11140.0	2395671284	2	16420.0,5860.0
736	11150.0	3409901171	2	11220.0,11080.0
122	11180.0	3949094064	2	13340.0,9020.0
735	11180.0	156263800	2	14620.0,7740.0
376	11200.0	2350480623	2	8100.0,14300.0
726	11210.0	1349991112	2	13740.0,8680.0
321	11220.0	2091282884	2	10120.0,12320.0
699	11230.0	4247425244	2	11720.0,10740.0
44	11250.0	1236788289	2	14280.0,8220.0
169	11260.0	3454218369	2	16220.0,6300.0
160	11320.0	3277289948	2	16840.0,5800.0
857	11330.0	2808658467	2	13920.0,8740.0
940	11340.0	3005742434	2	16760.0,5920.0
656	11350.0	4034310621	2	19020.0,3680.0
655	11370.0	2063044480	2	15480.0,7260.0
128	11430.0	2574131465	2	12320.0,10540.0
264	11430.0	2397952862	2	11460.0,11400.0
147	11440.0	3598958736	2	7780.0,15100.0
640	11440.0	1894441988	2	8160.0,14720.0
549	11450.0	885406431	2	10000.0,12900.0
602	11450.0	2321809062	2	13240.0,9660.0
291	11470.0	3930472378	2	5680.0,17260.0
486	11510.0	3120141564	2	15140.0,7880.0
689	11510.0	655360436	2	12220.0,10800.0
967	11510.0	1745261605	2	14160.0,8860.0
286	11530.0	2376536712	2	13020.0,10040.0
347	11580.0	4172464376	2	15300.0,7860.0
591	11610.0	3252948754	2	11840.0,11380.0
597	11620.0	3621001614	2	20080.0,3160.0
94	11660.0	1174745085	2	14220.0,9100.0
401	11660.0	1634942724	2	11680.0,11640.0
797	11660.0	343586636	2	16060.0,7260.0
121	11670.0	2689048880	2	16380.0,6960.0
763	11670.0	4162228024	2	8100.0,15240.0
482	11680.0	1701660534	2	12980.0,10380.0
620	11690.0	3619968038	2	15120.0,8260.0
782	11720.0	125910616	2	17660.0,5780.0
843	11720.0	3022002362	2	15880.0,7560.0
198	11730.0	2581572728	2	14420.0,9040.0
333	11730.0	308103703	2	14140.0,9320.0
168	11800.0	908634144	2	8860.0,14740.0
502	11800.0	3709688611	2	16560.0,7040.0
42	11830.0	679549168	2	16100.0,7560.0
861	11830.0	2305867468	2	14340.0,9320.0
359	11840.0	1389361337	2	6780.0,16900.0
92	11850.0	1534561344	2	14340.0,9360.0
946	11870.0	2646486838	2	12840.0,10900.0
263	11890.0	3019641613	2	12320.0,11460.0
79	11900.0	3438616884	2	20580.0,3220.0
773	11900.0	1364345034	2	11720.0,12080.0
989	11900.0	2075912941	2	16900.0,6900.0
326	11920.0	4159237824	2	15760.0,8080.0
598	11970.0	2700144440	2	18560.0,5380.0
947	11970.0	4129723849	2	7960.0,15980.0
157	11990.0	17097941	2	14400.0,9580.0
46	12020.0	326731778	2	15100.0,8940.0
900	12020.0	1593489756	2	14800.0,9240.0
893	12030.0	3191826967	2	14580.0,9480.0
592	12050.0	3733636413	2	19240.0,4860.0
415	12060.0	2243478633	2	12680.0,11440.0
902	12060.0	3238344451	2	12100.0,12020.0
139	12100.0	1757827181	2	15260.0,8940.0
358	12100.0	3405883694	2	11880.0,12320.0
466	12110.0	1886168897	2	12300.0,11920.0
196	12160.0	3512366085	2	9160.0,15160.0
311	12160.0	3401737509	2	11440.0,12880.0
413	12160.0	3083285110	2	11040.0,13280.0
771	12200.0	3829052378	2	17940.0,6460.0
737	12280.0	1739550502	2	16500.0,8060.0
241	12290.0	1520277373	2	11840.0,12740.0
612	12330.0	3274110330	2	13660.0,11000.0
21	12340.0	1486628255	2	16960.0,7720.0
77	12360.0	3271592071	2	14440.0,10280.0
897	12360.0	3386079541	2	16460.0,8260.0
55	12380.0	3154116890	2	17960.0,6800.0
816	12380.0	3466224342	2	14720.0,10040.0
803	12400.0	2810808	2	7780.0,17020.0
473	12410.0	488178973	2	15820.0,9000.0
872	12410.0	2341124932	2	17600.0,7220.0
485	12490.0	2281782429	2	21340.0,3640.0
567	12500.0	1129738032	2	19300.0,5700.0
646	12500.0	3747715872	2	17380.0,7620.0
194	12510.0	1746844316	2	7640.0,17380.0
318	12530.0	2536910154	2	7020.0,18040.0
680	12540.0	2625420870	2	20280.0,4800.0
826	12540.0	708019870	2	20100.0,4980.0
350	12550.0	2744372043	2	17260.0,7840.0
262	12560.0	1503187810	2	19080.0,6040.0
881	12560.0	344261761	2	14860.0,10260.0
661	12590.0	3410340955	2	14740.0,10440.0
790	12590.0	1335425106	2	17200.0,7980.0
501	12600.0	966547366	2	15720.0,9480.0
931	12600.0	2015107950	2	18160.0,7040.0
772	12610.0	3560638120	2	21160.0,4060.0
151	12620.0	2597168538	2	19260.0,5980.0
425	12620.0	2957492399	2	20380.0,4860.0
664	12640.0	3994019123	2	15420.0,9860.0
230	12650.0	2731904476	2	18660.0,6640.0
246	12660.0	2958182424	2	19020.0,6300.0
472	12660.0	2347546591	2	15940.0,9380.0
961	12670.0	955934278	2	19560.0,5780.0
76	12690.0	1124404892	2	14420.0,10960.0
474	12720.0	2600961676	2	14180.0,11260.0
560	12780.0	3082969011	2	20920.0,4640.0
390	12800.0	4284452142	2	14020.0,11580.0
145	12810.0	813400370	2	16280.0,9340.0
576	12820.0	3033187876	2	15040.0,10600.0
340	12840.0	4132318950	2	15420.0,10260.0
659	12850.0	3896982202	2	18460.0,7240.0
641	12880.0	3176711529	2	14420.0,11340.0
554	12950.0	153696441	2	10200.0,15700.0
822	12950.0	1060447245	2	13420.0,12480.0
93	12970.0	483819056	2	15400.0,10540.0
495	13030.0	3038831067	2	23980.0,2080.0
4	13040.0	502759261	2	15000.0,11080.0
24	13050.0	2153302430	2	22520.0,3580.0
355	13050.0	309080749	2	21300.0,4800.0
353	13090.0	3402842862	2	14240.0,11940.0
335	13100.0	3629961422	2	16820.0,9380.0
421	13110.0	3817051455	2	9920.0,16300.0
802	13140.0	2251079782	2	15380.0,10900.0
648	13160.0	2422272427	2	13420.0,12900.0
260	13220.0	2332172728	2	14260.0,12180.0
282	13290.0	3586142404	2	16220.0,10360.0
917	13310.0	4079592758	2	16380.0,10240.0
220	13330.0	2236505696	2	15960.0,10700.0
898	13340.0	826715194	2	15500.0,11180.0
712	13350.0	2981349212	2	20440.0,6260.0
962	13380.0	121747556	2	15420.0,11340.0
786	13390.0	4129175194	2	12420.0,14360.0
176	13420.0	4244153773	2	21120.0,5720.0
409	13430.0	2362168340	2	17040.0,9820.0
393	13450.0	1089610199	2	15040.0,11860.0
719	13450.0	724810246	2	17820.0,9080.0
224	13480.0	3219765866	2	17440.0,9520.0
276	13540.0	1727973833	2	8640.0,18440.0
492	13580.0	1949733279	2	15740.0,11420.0
266	13620.0	1899604697	2	20580.0,6660.0
51	13630.0	1126677578	2	18120.0,9140.0
236	13670.0	1936118936	2	15420.0,11920.0
954	13670.0	1349627253	2	21380.0,5960.0
759	13690.0	417200398	2	21460.0,5920.0
670	13710.0	3918318172	2	16760.0,10660.0
27	13720.0	196857540	2	21000.0,6440.0
677	13720.0	1377307149	2	18100.0,9340.0
700	13760.0	1228711305	2	16280.0,11240.0
877	13780.0	2740280441	2	20000.0,7560.0
886	13800.0	1496631950	2	16700.0,10900.0
812	13810.0	2334815500	2	18620.0,9000.0
827	13820.0	3866533437	2	5300.0,22340.0
428	13830.0	3807018465	2	14460.0,13200.0
531	13840.0	1505481550	2	17780.0,9900.0
840	13840.0	2301969131	2	16400.0,11280.0
245	13850.0	3211982969	2	7540.0,20160.0
144	13880.0	3329634035	2	20320.0,7440.0
905	13910.0	1470986857	2	19400.0,8420.0
232	13930.0	843504178	2	17800.0,10060.0
685	13930.0	681645720	2	3760.0,24100.0
584	13950.0	3790479061	2	15520.0,12380.0
579	13960.0	1368769170	2	15720.0,12200.0
192	13970.0	3262138074	2	9080.0,18860.0
237	14060.0	1942894038	2	19040.0,9080.0
768	14080.0	2637178287	2	22280.0,5880.0
373	14090.0	1940305250	2	15760.0,12420.0
287	14140.0	221073774	2	17040.0,11240.0
573	14170.0	2766583250	2	18400.0,9940.0
730	14190.0	792734330	2	7720.0,20660.0
663	14210.0	2826003682	2	15920.0,12500.0
781	14240.0	1894720736	2	22860.0,5620.0
369	14250.0	230985015	2	22120.0,6380.0
633	14280.0	4281214022	2	7380.0,21180.0
99	14300.0	18073728	2	18860.0,9740.0
88	14350.0	3960156340	2	17720.0,10980.0
468	14360.0	288644320	2	15560.0,13160.0
606	14410.0	613501420	2	18740.0,10080.0
341	14440.0	3454626158	2	19860.0,9020.0
810	14470.0	2676404943	2	11560.0,17380.0
701	14490.0	421016019	2	20860.0,8120.0
15	14500.0	2566060037	2	24980.0,4020.0
909	14500.0	3533167518	2	15320.0,13680.0
762	14530.0	667163799	2	18020.0,11040.0
396	14540.0	737773345	2	23720.0,5360.0
913	14570.0	1234670100	2	23840.0,5300.0
325	14620.0	4124631978	2	19580.0,9660.0
317	14630.0	4155277844	2	19860.0,9400.0
510	14640.0	502755330	2	21720.0,7560.0
988	14660.0	1494078179	2	18500.0,10820.0
788	14680.0	3269869258	2	4560.0,24800.0
101	14690.0	209456748	2	15020.0,14360.0
87	14730.0	6186081	2	9740.0,19720.0
64	14740.0	3672053368	2	21440.0,8040.0
619	14740.0	4222437472	2	6980.0,22500.0
303	14760.0	1475334540	2	20480.0,9040.0
671	14770.0	2471868842	2	9560.0,19980.0
332	14780.0	752086979	2	11180.0,18380.0
526	14790.0	2048888953	2	7140.0,22440.0
829	14800.0	3047791116	2	15080.0,14520.0
957	14800.0	3416228619	2	21540.0,8060.0
969	14800.0	4070546308	2	17240.0,12360.0
839	14810.0	711954658	2	17900.0,11720.0
882	14820.0	2274634821	2	11920.0,17720.0
209	14840.0	2218952257	2	20300.0,9380.0
222	14840.0	3080725700	2	18600.0,11080.0
921	14860.0	4256409882	2	17600.0,12120.0
673	14870.0	2178264310	2	20540.0,9200.0
996	14880.0	2596170640	2	19520.0,10240.0
530	14890.0	925332564	2	20040.0,9740.0
993	14910.0	76802145	2	11000.0,18820.0
72	14930.0	3014379583	2	18620.0,11240.0
874	14940.0	3592233860	2	15320.0,14560.0
892	14950.0	3372725409	2	19340.0,10560.0
769	14960.0	672172860	2	18260.0,11660.0
929	14960.0	658741046	2	19180.0,10740.0
904	14970.0	3201220422	2	17660.0,12280.0
832	14990.0	1295084709	2	19180.0,10800.0
841	14990.0	3965569202	2	21880.0,8100.0
500	15010.0	4131837447	2	19460.0,10560.0
693	15010.0	3225450190	2	10460.0,19560.0
80	15040.0	920740662	2	15120.0,14960.0
546	15060.0	3513115817	2	15760.0,14360.0
528	15070.0	4074771858	2	15160.0,14980.0
871	15070.0	2066841219	2	19120.0,11020.0
490	15090.0	1439306660	2	8020.0,22160.0
261	15110.0	729509997	2	15980.0,14240.0
420	15150.0	627442889	2	17260.0,13040.0
442	15150.0	2829772872	2	11420.0,18880.0
807	15150.0	395658634	2	21320.0,8980.0
889	15160.0	4047515275	2	16480.0,13840.0
57	15180.0	1953762369	2	15400.0,14960.0
372	15180.0	1642138991	2	15900.0,14460.0
811	15210.0	3577483222	2	16940.0,13480.0
834	15230.0	95750845	2	23400.0,7060.0
278	15240.0	1095357447	2	16960.0,13520.0
127	15290.0	2160204983	2	8920.0,21660.0
49	15300.0	3462723769	2	15840.0,14760.0
469	15300.0	1498093029	2	22000.0,8600.0
504	15320.0	3896635783	2	19860.0,10780.0
427	15340.0	235228131	2	5400.0,25280.0
795	15350.0	3497159815	2	10540.0,20160.0
328	15380.0	948837706	2	17760.0,13000.0
647	15410.0	3784323778	2	19800.0,11020.0
956	15460.0	2673516976	2	21560.0,9360.0
48	15480.0	122755121	2	21320.0,9640.0
729	15490.0	569384928	2	12840.0,18140.0
5	15510.0	897264318	2	19740.0,11280.0
379	15510.0	326950196	2	12120.0,18900.0
845	15510.0	4273816288	2	16020.0,15000.0
275	15540.0	1071179436	2	24060.0,7020.0
944	15540.0	3397294332	2	10180.0,20900.0
272	15550.0	3045478260	2	25460.0,5640.0
973	15550.0	281708322	2	16620.0,14480.0
111	15580.0	2147240506	2	23260.0,7900.0
728	15580.0	912988447	2	6620.0,24540.0
32	15590.0	1633765778	2	14060.0,17120.0
221	15620.0	4255021154	2	5060.0,26180.0
970	15620.0	3310469577	2	17940.0,13300.0
100	15650.0	347958485	2	20220.0,11080.0
302	15650.0	3943991614	2	21860.0,9440.0
252	15670.0	1189573419	2	11680.0,19660.0
738	15670.0	3367609074	2	28960.0,2380.0
457	15700.0	2630226822	2	23680.0,7720.0
848	15710.0	3766118955	2	6740.0,24680.0
159	15750.0	4004852539	2	16460.0,15040.0
928	15780.0	1670100843	2	29340.0,2220.0
932	15780.0	1298989241	2	20540.0,11020.0
559	15800.0	3748354875	2	17040.0,14560.0
607	15830.0	1405574420	2	12800.0,18860.0
950	15830.0	1928104907	2	13980.0,17680.0
444	15850.0	600527235	2	25220.0,6480.0
520	15860.0	893107047	2	18020.0,13700.0
327	15890.0	3725587295	2	12500.0,19280.0
301	15910.0	774574016	2	18820.0,13000.0
540	15980.0	2681476189	2	22420.0,9540.0
754	15980.0	3662122891	2	8760.0,23200.0
725	16050.0	847323876	2	21680.0,10420.0
271	16080.0	2101700623	2	25260.0,6900.0
293	16090.0	3613848210	2	12180.0,20000.0
132	16140.0	2806298535	2	11600.0,20680.0
334	16140.0	1243695394	2	24660.0,7620.0
491	16160.0	4129751070	2	17120.0,15200.0
888	16170.0	384537075	2	19120.0,13220.0
202	16220.0	1208614574	2	17660.0,14780.0
351	16240.0	3122930545	2	25920.0,6560.0
624	16240.0	4158482966	2	19940.0,12540.0
535	16250.0	3876865281	2	27080.0,5420.0
166	16270.0	2444205274	2	22560.0,9980.0
310	16270.0	1769713057	2	16880.0,15660.0
692	16280.0	1521739404	2	22000.0,10560.0
498	16320.0	4010399501	2	18560.0,14080.0
942	16320.0	996015235	2	20440.0,12200.0
125	16330.0	1141600509	2	16420.0,16240.0
366	16350.0	2693241964	2	9740.0,22960.0
73	16370.0	1903856342	2	20160.0,12580.0
296	16400.0	3180989695	2	23700.0,9100.0
660	16480.0	63697076	2	5940.0,27020.0
818	16490.0	3142314418	2	20380.0,12600.0
399	16510.0	2917008951	2	10320.0,22700.0
939	16510.0	1647081546	2	3360.0,29660.0
59	16540.0	1370901915	2	23980.0,9100.0
695	16550.0	3903822095	2	13420.0,19680.0
312	16570.0	819005019	2	27840.0,5300.0
808	16610.0	1684785607	2	19420.0,13800.0
257	16640.0	4199695367	2	25480.0,7800.0
86	16650.0	1931986943	2	23840.0,9460.0
542	16670.0	1591002318	2	17280.0,16060.0
6	16680.0	3769624421	2	17320.0,16040.0
467	16680.0	2628237647	2	18680.0,14680.0
557	16680.0	640693587	2	19000.0,14360.0
896	16700.0	3710784470	2	22840.0,10560.0
85	16770.0	1902985023	2	16840.0,16700.0
290	16770.0	488792100	2	7920.0,25620.0
407	16780.0	4177181117	2	18980.0,14580.0
25	16790.0	4264910358	2	25060.0,8520.0
611	16810.0	4079667683	2	24700.0,8920.0
925	16810.0	3191430935	2	24280.0,9340.0
361	16860.0	2131808105	2	15500.0,18220.0
550	16860.0	3721555281	2	22720.0,11000.0
718	16860.0	645386973	2	19700.0,14020.0
239	16900.0	3314201446	2	13080.0,20720.0
720	16930.0	4268651658	2	24700.0,9160.0
494	16990.0	1130060902	2	23500.0,10480.0
161	17020.0	2611131515	2	21400.0,12640.0
2	17090.0	1158178188	2	23840.0,10340.0
923	17090.0	2561201918	2	25280.0,8900.0
910	17100.0	2952730298	2	7340.0,26860.0
374	17120.0	4252800437	2	13160.0,21080.0
269	17130.0	2149989086	2	14160.0,20100.0
336	17130.0	2016928045	2	9240.0,25020.0
833	17130.0	87067184	2	21460.0,12800.0
433	17150.0	3510425945	2	24500.0,9800.0
804	17150.0	1467771512	2	19220.0,15080.0
227	17160.0	1880802854	2	21260.0,13060.0
437	17170.0	273624700	2	19680.0,14660.0
933	17190.0	4041220671	2	17400.0,16980.0
937	17200.0	2051410279	2	19220.0,15180.0
983	17210.0	833523690	2	10940.0,23480.0
123	17260.0	120349852	2	17440.0,17080.0
707	17310.0	856406071	2	18560.0,16060.0
477	17320.0	3197179951	2	14300.0,20340.0
505	17320.0	2042588328	2	8620.0,26020.0
424	17360.0	3109091137	2	16060.0,18660.0
555	17380.0	3722556268	2	21680.0,13080.0
792	17390.0	1618260202	2	17220.0,17560.0
842	17430.0	1154415746	2	20520.0,14340.0
681	17440.0	1209667127	2	3880.0,31000.0
